Type,Name,Nr,Country,Amount,Percentage,Price
"Öl, Ale, Imperial/Dubbel IPA",Två Feta Grisar,Nr 33813,Sverige,330 ml,"8,5 %",36:80*
"Öl, Ale, New England IPA/Hazy IPA",Fermenterarna,Nr 38546,Sverige,440 ml,8 %,57:40*
"Öl, Ale, Imperial/Dubbel IPA",Fermenterarna,Nr 38259,Sverige,440 ml,8 %,55:40*
"Öl, Ale, New England IPA/Hazy IPA",Två Feta Grisar,Nr 34946,Sverige,330 ml,"5,6 %",32:40*
"Öl, Veteöl, Weizenbock",Hefenator,Nr 38237,Sverige,330 ml,7 %,32:-*
"Öl, Ale, India pale ale (IPA)",Majornas Kaparkung,Nr 34797,Sverige,330 ml,"6,7 %",32:80*
"Öl, Ale, Amerikansk pale ale (APA)",Majornas Citra,Nr 34813,Sverige,330 ml,"5,3 %",30:10*
"Öl, Imperial porter och stout",Beersmiths,Nr 37822,Sverige,440 ml,"10,2 %",45:10*
"Öl, Ale, Imperial/Dubbel IPA",Duckpond,Nr 38507,Sverige,440 ml,8 %,55:40*
"Öl, Ale, India pale ale (IPA)",Majornas Bryggeri,Nr 38768,Sverige,330 ml,"6,6 %",33:90*
"Öl, Ale, Imperial/Dubbel IPA",Coma,Nr 31565,Sverige,330 ml,"8,5 %",38:40*
"Öl, Ale, Session IPA",Ring Öl,Nr 31552,Sverige,330 ml,"4,8 %",27:10*
"Öl, Ale, India pale ale (IPA)",Beersmiths,Nr 37582,Sverige,440 ml,6 %,40:30*
"Öl, Övrig syrlig öl",Beersmiths,Nr 37651,Sverige,440 ml,"5,5 %",43:80*
"Öl, Torr porter och stout",Två Feta Grisar,Nr 34366,Sverige,330 ml,"5,6 %",27:10*
"Öl, Ale, New England IPA/Hazy IPA",Två Feta Grisar,Nr 37099,Sverige,330 ml,"5,6 %",32:10*
"Öl, Ale, New England IPA/Hazy IPA",Beersmiths,Nr 38045,Sverige,440 ml,"5,8 %",42:90*
"Öl, Ale, New England IPA/Hazy IPA",Beersmiths,Nr 38065,Sverige,440 ml,"8,1 %",45:40*
"Öl, Imperial porter och stout",Majornas,Nr 37157,Sverige,330 ml,"9,5 %",39:90*
"Öl, Ale, Altbier",Mörk Vienna,Nr 36522,Sverige,330 ml,"5,6 %",30:-*
"Öl, Ale, New England IPA/Hazy IPA",Knô daj in,Nr 37403,Sverige,330 ml,"6,6 %",32:80*
"Öl, Ale, Engelsk pale ale och bitter",Majornas EPA,Nr 37417,Sverige,330 ml,"5,5 %",30:10*
"Öl, Ale, Amerikansk pale ale (APA)",Fermenterarna,Nr 38053,Sverige,440 ml,5 %,40:20*
"Öl, Ale, Imperial/Dubbel IPA",Fermenterarna,Nr 38154,Sverige,440 ml,10 %,65:50*
"Öl, Ale, New England IPA/Hazy IPA",Fermenterarna,Nr 38181,Sverige,440 ml,"6,5 %",50:30*
"Öl, Ale, Session IPA",Älska,Nr 36030,Sverige,330 ml,"4,9 %",30:10*
"Öl, Övrig syrlig öl",Fermenterarna,Nr 37349,Sverige,440 ml,6 %,53:20*
"Öl, Ale, Imperial/Dubbel IPA",Fermenterarna,Nr 37796,Sverige,440 ml,8 %,55:40*
"Öl, Ljus lager, Pilsner - tysk stil",Majornas,Nr 36701,Sverige,330 ml,"5,4 %",25:20*
"Öl, Ale, New England IPA/Hazy IPA",Fermenterarna,Nr 38547,Sverige,440 ml,"6,5 %",50:30*
"Öl, Ale, Imperial/Dubbel IPA",DuckPond Brewing,Nr 38649,Sverige,440 ml,8 %,54:90*
"Öl, Ale, India pale ale (IPA)",Majornas,Nr 34917,Sverige,330 ml,"6,4 %",32:80*
"Öl, Imperial porter och stout",Mohawk Brewing Company,Nr 33314,Sverige,330 ml,"9,7 %",43:30*
"Öl, Ale, New England IPA/Hazy IPA",All In Brewing,Nr 37565,Sverige,330 ml,"6,5 %",35:10*
"Öl, Ljus lager, Zwickel, keller- och landbier",El Pondo,Nr 37731,Sverige,330 ml,5 %,24:20*
"Öl, Ale, Engelsk pale ale och bitter",O/O Bruks Bitter,Nr 31658,Sverige,500 ml,"4,2 %",35:10*
"Öl, Ale, Belgisk ljus ale",Mohawk,Nr 37240,Sverige,440 ml,5 %,36:20*
"Öl, Ljus lager, Pilsner - tysk stil",Majornas Bryggeri,Nr 38006,Sverige,330 ml,"4,8 %",25:10*
"Öl, Ale, Imperial/Dubbel IPA",DuckPond Brewing,Nr 38037,Sverige,440 ml,8 %,55:40*
"Öl, Imperial porter och stout",Bearded Rabbit Brewery,Nr 38336,Sverige,330 ml,10 %,49:40*
"Öl, Ale, New England IPA/Hazy IPA",Fermenterarna,Nr 38548,Sverige,440 ml,8 %,57:40*
"Öl, Ale, Amerikansk pale ale (APA)",Majornas Höstale,Nr 38179,Sverige,330 ml,6 %,30:30*
"Öl, Ale, New England IPA/Hazy IPA",Fermenterarna,Nr 38254,Sverige,440 ml,"6,1 %",50:30*
"Öl, Imperial porter och stout",Optimus,Nr 36572,Sverige,330 ml,9 %,39:20*
"Öl, Övrig syrlig öl",Fermenterarna,Nr 37778,Sverige,440 ml,8 %,60:40*
"Öl, Ale, India pale ale (IPA)",All In Brewing,Nr 37782,Sverige,330 ml,7 %,34:20*
"Öl, Ale, Amerikansk pale ale (APA)",Spike,Nr 36644,Sverige,330 ml,"4,8 %",31:60*
"Öl, Mörk lager, Schwarzbier",Stigbergets,Nr 38121,Sverige,440 ml,"4,5 %",24:90*
"Öl, Ale, Imperial/Dubbel IPA",Två Feta Grisar Påskbrygd Dubbel IPA,Nr 37334,Sverige,330 ml,"8,5 %",36:-*
"Öl, Ale, Imperial/Dubbel IPA",Fermenterarna,Nr 37348,Sverige,440 ml,8 %,55:30*
"Öl, Ale, Black IPA",Bearded Rabbit Brewery,Nr 38398,Sverige,330 ml,"6,3 %",35:30*
"Öl, Ale, Barley wine",Mohawk Grappa Barrel-Aged,Nr 35505,Sverige,330 ml,14 %,69:90*
"Öl, Ale, Amerikansk pale ale (APA)",True Love,Nr 34346,Sverige,330 ml,5 %,28:60*
"Öl, Ale, Brown ale",Morgondagens,Nr 36741,Sverige,330 ml,"7,6 %",44:90*
"Öl, Ale, Amerikansk pale ale (APA)",Diamant,Nr 35129,Sverige,330 ml,"5,6 %",29:10*
"Öl, Ale, Amerikansk pale ale (APA)",Stigbergets American Pale Ale,Nr 34567,Sverige,330 ml,"5,2 %",24:10*
"Öl, Ale, India pale ale (IPA)",Majornas,Nr 35121,Sverige,330 ml,"6,5 %",32:80*
"Öl, Syrlig öl, Berliner weisse",Morgondagens Deadhead,Nr 34640,Sverige,330 ml,"4,5 %",25:10*
"Öl, Ale, India pale ale (IPA)",Spike Brewery,Nr 36257,Sverige,440 ml,"6,3 %",45:50*
"Öl, Ljus lager, Ljus bocköl",Beerbliotek x Amager,Nr 37762,Sverige,330 ml,"6,5 %",26:90*
"Öl, Ale, New England IPA/Hazy IPA",Mohawk Doubleishious,Nr 33816,Sverige,330 ml,"6,8 %",37:20*
"Öl, Imperial porter och stout",Chuck the Oyster,Nr 11437,Sverige,330 ml,9 %,30:30*
"Öl, Ale, India pale ale (IPA)",Mohawk,Nr 35601,Sverige,330 ml,"6,3 %",34:20*
"Öl, Torr porter och stout",Elfsborgs Lösen,Nr 35169,Sverige,330 ml,"7,1 %",32:80*
"Öl, Mörk lager, Schwarzbier",Beerbliotek,Nr 38511,Sverige,330 ml,"5,9 %",30:20*
"Öl, Ale, Belgisk ljus ale",Två Feta Grisar,Nr 34984,Sverige,330 ml,"4,4 %",25:80*
"Öl, Ale, Amerikansk pale ale (APA)",Billdale Caribbean Sun,Nr 37734,Sverige,330 ml,"5,6 %",32:10*
"Öl, Ale, India pale ale (IPA)",Majornas,Nr 36882,Sverige,330 ml,"6,9 %",35:20*
"Öl, Ale, Dubbel",Dubbel 2.0,Nr 36478,Sverige,330 ml,"8,2 %",34:20*
"Öl, Ale, India pale ale (IPA)",All In Brewing,Nr 36665,Sverige,330 ml,6 %,30:20*
"Öl, Ale, Amber ale",Beerbliotek,Nr 37331,Sverige,330 ml,"5,8 %",25:90*
"Öl, Mellanmörk lager, Märzen och wienerstil",Beerbliotek,Nr 38125,Sverige,330 ml,6 %,25:-*
"Öl, Ale, Imperial/Dubbel IPA",Beersmiths,Nr 38294,Sverige,440 ml,9 %,40:-*
"Öl, Ale, Session IPA",Stigbergets Session IPA,Nr 35479,Sverige,440 ml,"3,6 %",33:10*
"Öl, Ale, New England IPA/Hazy IPA",Beerbliotek & Six Degrees North,Nr 33254,Sverige,330 ml,"6,8 %",31:20*
"Öl, Ale, Imperial/Dubbel IPA",Gothenburg brew,Nr 31071,Sverige,330 ml,8 %,33:90*
"Öl, Ljus lager, Modern stil/India Pale Lager",Fingerlickin',Nr 35202,Sverige,440 ml,"5,6 %",36:80*
"Öl, Imperial porter och stout",Morgondagens,Nr 36820,Sverige,330 ml,10 %,59:90*
"Öl, Syrlig öl, Berliner weisse",Paranormal Brewing,Nr 37483,Sverige,330 ml,"4,7 %",40:10*
"Öl, Ale, India pale ale (IPA)",Vega,Nr 36015,Sverige,440 ml,"6,9 %",50:30*
"Öl, Syrlig öl, Berliner weisse",Mohawk Bärså,Nr 37937,Sverige,330 ml,6 %,34:20*
"Öl, Syrlig öl, Berliner weisse",Majornas,Nr 37738,Sverige,330 ml,"4,5 %",35:10*
"Öl, Ljus lager, Pilsner - tysk stil",All In Brewing,Nr 36409,Sverige,330 ml,"5,6 %",19:80*
"Öl, Syrlig öl, Gose och lichtenhainer",Duckpond,Nr 36736,Sverige,330 ml,"4,5 %",39:90*
"Öl, Ale, Belgisk ljus ale",Vega Bryggeri,Nr 37946,Sverige,330 ml,"6,5 %",34:90*
"Öl, Mellanmörk lager, Märzen och wienerstil",O/O Festbier,Nr 38123,Sverige,440 ml,"5,5 %",37:90*
"Öl, Ale, India pale ale (IPA)",Beerbliotek,Nr 38273,Sverige,330 ml,6 %,30:90*
"Öl, Ale, Amerikansk pale ale (APA)",O/O Balamundi,Nr 37372,Sverige,330 ml,5 %,27:90*
"Öl, Ale, Imperial/Dubbel IPA",O/O Brewing,Nr 37790,Sverige,330 ml,"8,2 %",34:90*
"Öl, Imperial porter och stout",8th year Stout,Nr 35545,Sverige,330 ml,13 %,63:10*
"Öl, Övrig syrlig öl",Bunny Blood,Nr 35585,Sverige,330 ml,"4,5 %",42:20*
"Öl, Syrlig öl, Berliner weisse",Morgondagens Bryggeri,Nr 36425,Sverige,330 ml,"4,5 %",39:90*
"Öl, Ale, Kölsch",El Pondo,Nr 36966,Sverige,330 ml,5 %,23:90*
"Öl, Ale, Imperial/Dubbel IPA",O/O,Nr 37544,Sverige,440 ml,"8,5 %",60:40*
"Öl, Imperial porter och stout",Beerbliotek,Nr 36636,Sverige,330 ml,"9,3 %",42:90*
"Öl, Ale, India pale ale (IPA)",Beersmiths,Nr 37382,Sverige,440 ml,6 %,39:50*
"Öl, Ale, India pale ale (IPA)",Duckpond,Nr 37708,Sverige,440 ml,"6,5 %",49:90*
"Öl, Mellanmörk lager, Märzen och wienerstil",Göteborgs,Nr 31927,Sverige,330 ml,"5,9 %",28:20
"Öl, Ljus lager, Internationell stil",Göteborgs,Nr 34420,Sverige,330 ml,"5,2 %",23:20
"Öl, Ljus lager, Internationell stil",Göteborgs Stora Starkpilsner,Nr 34716,Sverige,750 ml,"5,7 %",50:50
"Öl, Ale, Amerikansk pale ale (APA)",Göteborgs Winter Ale,Nr 11309,Sverige,330 ml,"5,4 %",27:10
"Öl, Ale, Amerikansk pale ale (APA)",Göteborgs Summer Pale Ale,Nr 34598,Sverige,330 ml,"5,2 %",23:60
"Öl, Ale, Barley wine",O/O Brewing,Nr 38164,Sverige,330 ml,13 %,100:50
"Öl, Ale, Barley wine",O/O,Nr 38161,Sverige,330 ml,"13,4 %",70:40
"Öl, Ljus lager, Internationell stil",Göteborgs Sommar Lager,Nr 33027,Sverige,330 ml,"4,8 %",23:40
"Öl, Mellanmörk lager, Märzen och wienerstil",Göteborgs Jul-Öl,Nr 35273,Sverige,500 ml,"5,8 %",33:30
"Öl, Imperial porter och stout",O/O Brewing,Nr 38278,Sverige,330 ml,"13,4 %",74:90
"Öl, Ale, Golden/Blond ale",Göteborgs Nya Bryggeri,Nr 38293,Sverige,330 ml,"4,3 %",24:10
"Öl, Mörk lager, Dunkel",1810 Oktoberfestöl,Nr 36515,Sverige,500 ml,"5,9 %",30:30
"Öl, Ljus lager, Pilsner - tysk stil",Vega,Nr 31423,Sverige,330 ml,"5,2 %",25:10
"Öl, Ale, Amber ale",Göteborgs Easter Ale,Nr 11660,Sverige,330 ml,"5,4 %",24:90
"Öl, Övrig syrlig öl",Vega Bryggeri,Nr 38263,Sverige,750 ml,"5,8 %",100:50
"Öl, Mellanmörk lager, Märzen och wienerstil",Vega Bryggeri,Nr 36901,Sverige,330 ml,"5,5 %",30:10
"Öl, Ale, Golden/Blond ale",Sad Robot,Nr 31780,Sverige,330 ml,"5,2 %",23:90
"Öl, Ale, Barley wine",O/O #200,Nr 37264,Sverige,330 ml,"12,8 %",99:60
"Öl, Imperial porter och stout",Winter Island Stout,Nr 34136,Sverige,330 ml,8 %,40:20
"Öl, Ale, New England IPA/Hazy IPA",Eightysix,Nr 37198,Sverige,330 ml,"6,4 %",38:40
"Öl, Ale, Amerikansk pale ale (APA)",Winter Island Ale,Nr 34104,Sverige,330 ml,"5,6 %",30:10
"Öl, Imperial porter och stout",Vega,Nr 34381,Sverige,330 ml,8 %,39:90
"Öl, Ale, Amber ale",Vega,Nr 33496,Sverige,330 ml,"5,6 %",29:90
"Öl, Ale, Barley wine",Barley Wine,Nr 33991,Sverige,330 ml,"10,5 %",35:50
"Öl, Ale, Saison",O/O Brewing,Nr 38280,Sverige,750 ml,"6,8 %",89:-
"Öl, Ale, Session IPA",Sad Robot Brewing,Nr 35764,Sverige,330 ml,"4,8 %",25:40
"Öl, Ale, Barley wine",The Holy Grail,Nr 37271,Sverige,750 ml,"10,7 %",159:-
"Öl, Mellanmörk lager, Märzen och wienerstil",Vega Easter Lager,Nr 31054,Sverige,330 ml,"5,4 %",29:90
"Öl, Imperial porter och stout",Sad Robot,Nr 32550,Sverige,330 ml,"8,7 %",32:40
"Öl, Ale, Barley wine",O/O,Nr 36496,Sverige,330 ml,11 %,69:90
"Öl, Ljus lager, Modern stil/India Pale Lager",Sad Robot Brewing,Nr 35763,Sverige,330 ml,"5,1 %",23:90
"Öl, Ale, New England IPA/Hazy IPA",Stigbergets,Nr 34133,Sverige,440 ml,"6,8 %",44:30*
"Öl, Ljus lager, Modern stil/India Pale Lager",Diamante,Nr 34233,Sverige,330 ml,"5,6 %",28:60*
"Öl, Ljus lager, Internationell stil",Göteborgs Nya Bryggeri,Nr 54053,Sverige,500 ml,"5,7 %",29:30
"Öl, Övrig syrlig öl",Mohawk,Nr 35564,Sverige,375 ml,"7,1 %",100:30
"Öl, Ale, New England IPA/Hazy IPA",Stigbergets,Nr 52126,Sverige,5000 ml,"6,5 %",504:10
